FIPS,Datetime,Cases
13063,2020-03-25 12:03:00,21
13065,2020-03-25 12:03:00,1
13067,2020-03-25 12:03:00,90
13069,2020-03-25 12:03:00,2
13071,2020-03-25 12:03:00,1
13073,2020-03-25 12:03:00,6
13077,2020-03-25 12:03:00,10
13081,2020-03-25 12:03:00,3
13085,2020-03-25 12:03:00,1
13089,2020-03-25 12:03:00,107
13095,2020-03-25 12:03:00,101
13097,2020-03-25 12:03:00,12
13099,2020-03-25 12:03:00,5
13103,2020-03-25 12:03:00,3
13111,2020-03-25 12:03:00,1
13113,2020-03-25 12:03:00,12
13115,2020-03-25 12:03:00,12
13117,2020-03-25 12:03:00,8
13121,2020-03-25 12:03:00,191
13127,2020-03-25 12:03:00,5
13129,2020-03-25 12:03:00,8
13133,2020-03-25 12:03:00,1
13135,2020-03-25 12:03:00,46
13139,2020-03-25 12:03:00,16
13145,2020-03-25 12:03:00,1
13149,2020-03-25 12:03:00,1
13151,2020-03-25 12:03:00,13
13153,2020-03-25 12:03:00,5
13155,2020-03-25 12:03:00,1
13159,2020-03-25 12:03:00,1
13171,2020-03-25 12:03:00,3
13175,2020-03-25 12:03:00,6
13177,2020-03-25 12:03:00,24
13179,2020-03-25 12:03:00,1
13181,2020-03-25 12:03:00,1
13185,2020-03-25 12:03:00,11
13187,2020-03-25 12:03:00,3
13193,2020-03-25 12:03:00,1
13195,2020-03-25 12:03:00,1
13199,2020-03-25 12:03:00,1
13201,2020-03-25 12:03:00,1
13205,2020-03-25 12:03:00,4
13207,2020-03-25 12:03:00,3
13211,2020-03-25 12:03:00,1
13215,2020-03-25 12:03:00,4
13217,2020-03-25 12:03:00,6
13219,2020-03-25 12:03:00,5
13223,2020-03-25 12:03:00,6
13225,2020-03-25 12:03:00,3
13227,2020-03-25 12:03:00,4
13229,2020-03-25 12:03:00,1
13233,2020-03-25 12:03:00,8
13235,2020-03-25 12:03:00,1
13243,2020-03-25 12:03:00,1
13245,2020-03-25 12:03:00,10
13247,2020-03-25 12:03:00,8
13253,2020-03-25 12:03:00,2
13255,2020-03-25 12:03:00,5
13257,2020-03-25 12:03:00,2
13261,2020-03-25 12:03:00,4
13267,2020-03-25 12:03:00,1
13271,2020-03-25 12:03:00,1
13273,2020-03-25 12:03:00,3
13277,2020-03-25 12:03:00,4
13285,2020-03-25 12:03:00,6
13287,2020-03-25 12:03:00,1
13289,2020-03-25 12:03:00,1
13297,2020-03-25 12:03:00,1
13303,2020-03-25 12:03:00,1
13313,2020-03-25 12:03:00,2
13321,2020-03-25 12:03:00,4
66010,2020-03-25 12:03:00,37
15001,2020-03-25 12:03:00,5
15003,2020-03-25 12:03:00,64
15007,2020-03-25 12:03:00,4
15009,2020-03-25 12:03:00,12
16001,2020-03-25 12:03:00,22
16005,2020-03-25 12:03:00,2
16011,2020-03-25 12:03:00,1
16013,2020-03-25 12:03:00,33
16027,2020-03-25 12:03:00,5
16031,2020-03-25 12:03:00,1
16055,2020-03-25 12:03:00,3
16065,2020-03-25 12:03:00,2
16081,2020-03-25 12:03:00,2
16083,2020-03-25 12:03:00,1
16085,2020-03-25 12:03:00,1
17001,2020-03-25 12:03:00,1
17019,2020-03-25 12:03:00,2
17021,2020-03-25 12:03:00,1
17027,2020-03-25 12:03:00,3
17031,2020-03-25 12:03:00,1194
17035,2020-03-25 12:03:00,1
17037,2020-03-25 12:03:00,1
17043,2020-03-25 12:03:00,103
17063,2020-03-25 12:03:00,1
17077,2020-03-25 12:03:00,1
17085,2020-03-25 12:03:00,1
17089,2020-03-25 12:03:00,24
17091,2020-03-25 12:03:00,4
17093,2020-03-25 12:03:00,4
17097,2020-03-25 12:03:00,111
17099,2020-03-25 12:03:00,3
17105,2020-03-25 12:03:00,1
17119,2020-03-25 12:03:00,2
17111,2020-03-25 12:03:00,14
17113,2020-03-25 12:03:00,7
17133,2020-03-25 12:03:00,1
17143,2020-03-25 12:03:00,3
17161,2020-03-25 12:03:00,1
17167,2020-03-25 12:03:00,5
17163,2020-03-25 12:03:00,7
17177,2020-03-25 12:03:00,1
17189,2020-03-25 12:03:00,1
17195,2020-03-25 12:03:00,1
17197,2020-03-25 12:03:00,24
17199,2020-03-25 12:03:00,1
17201,2020-03-25 12:03:00,5
17203,2020-03-25 12:03:00,3
18001,2020-03-25 12:03:00,1
18003,2020-03-25 12:03:00,7
18005,2020-03-25 12:03:00,5
18011,2020-03-25 12:03:00,3
18013,2020-03-25 12:03:00,1
18019,2020-03-25 12:03:00,5
18029,2020-03-25 12:03:00,2
18031,2020-03-25 12:03:00,6
18035,2020-03-25 12:03:00,4
18037,2020-03-25 12:03:00,1
18039,2020-03-25 12:03:00,4
18041,2020-03-25 12:03:00,2
18043,2020-03-25 12:03:00,6
18047,2020-03-25 12:03:00,7
18051,2020-03-25 12:03:00,2
18053,2020-03-25 12:03:00,3
18057,2020-03-25 12:03:00,25
18059,2020-03-25 12:03:00,4
18061,2020-03-25 12:03:00,1
18063,2020-03-25 12:03:00,13
18067,2020-03-25 12:03:00,6
18071,2020-03-25 12:03:00,1
18079,2020-03-25 12:03:00,2
18081,2020-03-25 12:03:00,18
18089,2020-03-25 12:03:00,17
18091,2020-03-25 12:03:00,2
18093,2020-03-25 12:03:00,1
18095,2020-03-25 12:03:00,3
18097,2020-03-25 12:03:00,161
18103,2020-03-25 12:03:00,1
18105,2020-03-25 12:03:00,3
18107,2020-03-25 12:03:00,1
18109,2020-03-25 12:03:00,3
18113,2020-03-25 12:03:00,1
18115,2020-03-25 12:03:00,1
18119,2020-03-25 12:03:00,2
18127,2020-03-25 12:03:00,1
18133,2020-03-25 12:03:00,1
18137,2020-03-25 12:03:00,6
18143,2020-03-25 12:03:00,1
18145,2020-03-25 12:03:00,1
18141,2020-03-25 12:03:00,15
18149,2020-03-25 12:03:00,1
18153,2020-03-25 12:03:00,1
18157,2020-03-25 12:03:00,3
18159,2020-03-25 12:03:00,2
18163,2020-03-25 12:03:00,1
18167,2020-03-25 12:03:00,3
18173,2020-03-25 12:03:00,1
18175,2020-03-25 12:03:00,2
18177,2020-03-25 12:03:00,1
18179,2020-03-25 12:03:00,1
19001,2020-03-25 12:03:00,1
19005,2020-03-25 12:03:00,6
19013,2020-03-25 12:03:00,4
19019,2020-03-25 12:03:00,1
19027,2020-03-25 12:03:00,1
19031,2020-03-25 12:03:00,1
19033,2020-03-25 12:03:00,2
19049,2020-03-25 12:03:00,7
19061,2020-03-25 12:03:00,6
19065,2020-03-25 12:03:00,1
19081,2020-03-25 12:03:00,2
19085,2020-03-25 12:03:00,3
19087,2020-03-25 12:03:00,1
19099,2020-03-25 12:03:00,1
19103,2020-03-25 12:03:00,37
19109,2020-03-25 12:03:00,1
19113,2020-03-25 12:03:00,6
19139,2020-03-25 12:03:00,5
19153,2020-03-25 12:03:00,17
19155,2020-03-25 12:03:00,2
19157,2020-03-25 12:03:00,2
19163,2020-03-25 12:03:00,1
19167,2020-03-25 12:03:00,1
19169,2020-03-25 12:03:00,2
19171,2020-03-25 12:03:00,4
19179,2020-03-25 12:03:00,1
19181,2020-03-25 12:03:00,1
19183,2020-03-25 12:03:00,4
19191,2020-03-25 12:03:00,1
19193,2020-03-25 12:03:00,2
20011,2020-03-25 12:03:00,1
20015,2020-03-25 12:03:00,3
20021,2020-03-25 12:03:00,2
20043,2020-03-25 12:03:00,1
20045,2020-03-25 12:03:00,6
20057,2020-03-25 12:03:00,1
20059,2020-03-25 12:03:00,1
20085,2020-03-25 12:03:00,1
20091,2020-03-25 12:03:00,36
20103,2020-03-25 12:03:00,7
20107,2020-03-25 12:03:00,2
20111,2020-03-25 12:03:00,2
20123,2020-03-25 12:03:00,1
20127,2020-03-25 12:03:00,2
20149,2020-03-25 12:03:00,1
20155,2020-03-25 12:03:00,2
20173,2020-03-25 12:03:00,7
20207,2020-03-25 12:03:00,1
20209,2020-03-25 12:03:00,22
21003,2020-03-25 12:03:00,1
21005,2020-03-25 12:03:00,1
21017,2020-03-25 12:03:00,2
21025,2020-03-25 12:03:00,2
21035,2020-03-25 12:03:00,1
21047,2020-03-25 12:03:00,3
21049,2020-03-25 12:03:00,3
21059,2020-03-25 12:03:00,12
21067,2020-03-25 12:03:00,20
21073,2020-03-25 12:03:00,2
21093,2020-03-25 12:03:00,2
21097,2020-03-25 12:03:00,10
21101,2020-03-25 12:03:00,2
21111,2020-03-25 12:03:00,40
21113,2020-03-25 12:03:00,2
21117,2020-03-25 12:03:00,8
21141,2020-03-25 12:03:00,1
21143,2020-03-25 12:03:00,1
21151,2020-03-25 12:03:00,2
21159,2020-03-25 12:03:00,1
21145,2020-03-25 12:03:00,2
21165,2020-03-25 12:03:00,2
21173,2020-03-25 12:03:00,2
21177,2020-03-25 12:03:00,2
21179,2020-03-25 12:03:00,1
21185,2020-03-25 12:03:00,1
21199,2020-03-25 12:03:00,4
21209,2020-03-25 12:03:00,1
21213,2020-03-25 12:03:00,1
21215,2020-03-25 12:03:00,1
21227,2020-03-25 12:03:00,6
22001,2020-03-25 12:03:00,2
22003,2020-03-25 12:03:00,2
22005,2020-03-25 12:03:00,36
22007,2020-03-25 12:03:00,2
22009,2020-03-25 12:03:00,3
22011,2020-03-25 12:03:00,2
22013,2020-03-25 12:03:00,1
22015,2020-03-25 12:03:00,12
22017,2020-03-25 12:03:00,40
